Year,Country Name,Agricultural irrigated land (% of total agricultural land),Agricultural land (% of land area),Agricultural land (sq. km),"Agricultural machinery, tractors","Agricultural machinery, tractors per 100 sq. km of arable land",Agricultural raw materials exports (% of merchandise exports),Agricultural raw materials imports (% of merchandise imports),"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)","Agriculture, forestry, and fishing, value added (constant 2015 US$)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (constant 2015 US$),GDP (current US$),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Industry (including construction), value added (constant 2015 US$)","Industry (including construction), value added (current US$)","Industry (including construction), value added per worker (constant 2015 US$)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),"Manufacturing, value added (% of GDP)","Manufacturing, value added (annual % growth)","Manufacturing, value added (constant 2015 US$)","Manufacturing, value added (current US$)",Merchandise exports (current US$),Merchandise exports by the reporting economy (current US$),Merchandise imports (current US$),Merchandise imports by the reporting economy (current US$),"Official exchange rate (LCU per US$, period average)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Services, value added (% of GDP)","Services, value added (annual % growth)","Services, value added (constant 2015 US$)","Services, value added (current US$)","Services, value added per worker (constant 2015 US$)"
2016,Tanzania,,43.65861368254685,386728.0,,,3.4948417272202743,1.2692019660451164,27.444142571775416,4.7624294651164405,13275314061.92286,13660048895.6641,822.3292923608643,66.88446,6.494799,26.62073,82.121,50632147557.72366,49774004999.20376,24.858399368155794,11.748395211659357,12964785740.569868,12373020944.2279,8469.219878158596,83.927,25227844.0,16.352113354561972,68.7014143372417,7.813717837833827,10.816623963750231,4124436273.7569766,3889200307.2270846,4500000000.0,4770068374.0,9300000000.0,7921020456.0,2177.08666666667,3599298550.09434,2176433481.31478,39.44858852159385,6.299485795276567,20362434145.573032,19635142422.853443,3146.750020580199
2017,Tanzania,,43.898284037028674,388851.0,,,3.751829922013694,1.078395765404848,28.763095743979434,5.948773600860676,14065032440.269873,15323817711.654589,851.288610654063,66.34439,6.612038,27.04356,82.078,54061415302.162125,53275968094.8533,25.041652299728362,10.643054834755787,14344634996.147318,13341182689.627378,9014.593088028394,83.897,26155211.0,15.861602246547196,67.70518732560899,7.6654344419281815,8.236012213412039,4464125348.997997,4083834407.613554,4113000000.0,3853447853.0,8299000000.0,10001367029.0,2228.85666666667,3831872390.67563,2039876360.80438,37.95257601810851,5.276127141049443,21436782060.10593,20219602290.58243,3137.1523292833394
2018,Tanzania,,44.1379543915105,390974.0,,,1.2480585346669266,1.3715405628577073,27.86859947737702,3.400000000029266,14543243543.243164,15886128952.451555,859.0644955992402,65.76806,6.746752,27.48519,82.016,57011861861.320496,57003686049.41016,27.00776551109675,9.726164166596902,15739817744.971718,15395421860.906466,9495.552418248984,83.863,27089226.0,73.65842689491656,69.42888696097674,8.073823151064119,8.253067509216905,4832552627.746867,4602376801.217184,4041000000.0,3668149537.0,9120000000.0,8516183845.0,2263.78166666667,4014668613.68606,1915908543.95406,37.242798872765334,3.8000000000192102,22251379778.394073,21229768145.444412,3093.743091430217
2019,Tanzania,,44.37762474599232,393097.0,,,4.713818734731041,1.5840286140122926,26.594311951601796,3.5000000000828635,15052257067.268724,16229648484.203808,868.1078622764995,65.07989,6.879666,28.04046,81.967,60318549849.2584,61026765850.30539,28.671833356505182,10.331106193363297,17365915030.84659,17497492607.464176,10075.804100119161,83.823,28031346.0,15.071665237962067,70.30295668229066,8.501810555781494,4.500000000768949,5050017496.032637,5188380020.91332,5005000000.0,4760921254.0,9452000000.0,9054672382.0,2288.20666666667,4280979747.15948,1782495918.76966,36.832504385879986,4.199999999828492,23185937729.048462,22477686208.374443,3060.4224200224
2020,Tanzania,,44.616391962068185,395212.0,,,3.299418272094533,1.7119109446757086,25.25490166534305,3.066266640549415,15513799404.372126,16685594752.130674,,64.8265,7.004791,28.16867,78.155,61520074013.39674,66068737757.26509,27.084450287713157,2.521946314327124,17803874084.916203,17894354433.586037,,80.39,27839215.0,11.431169946459505,72.31921730709433,8.032128090363233,2.537761629871113,5178174902.348731,5306725644.349709,6061000000.0,6066070723.0,8439000000.0,8516524616.000001,2294.14615050509,2183767821.63146,1292041739.3327,34.237472975826414,0.8959481194507788,23393671702.1089,22620266235.113255,
2021,Tanzania,,,,,,3.4444123861594385,1.4678706658474407,24.78845061587826,3.699999999892853,16087809982.317272,17514435488.966904,,64.26571,7.248288,28.48597,79.586,64178592829.963974,70655628140.58261,27.29614188785181,4.099999999752924,18533832922.35378,19286260509.006382,,81.828,29342820.0,13.839954510829974,68.08931505979056,8.024874632881653,4.799999999472448,5426727297.634152,5670025579.356804,6391000000.0,,10024000000.0,,2297.76422623792,,,32.55197160585245,4.7624544529958115,24507784661.805206,22999800010.25914,
2022,Tanzania,,,,,,3.6764005918734814,1.0924451726741047,24.269032819534456,3.300000000062738,16618707711.743835,18373912208.545006,,,,,80.317,67103870636.67345,75709289056.44566,27.69857925646609,4.300000000085873,19330787738.030907,20970397433.80661,,82.598,30643514.0,15.382708371573795,65.50984462830847,8.187171922931178,5.000000000092527,5698063662.520882,6198449656.680127,6825000000.0,,14255000000.0,,,,,30.63729282110429,5.529122061878525,25862849990.41876,23195276580.999523,
1960,Uganda,,,,,,,,49.87486061206789,,,210974842.7672956,,,,,,,423008385.7442348,12.81600792962458,,,54212788.25995807,,,,,,8.148184859373064,,,34467505.24109015,129000000.0,120100000.0,91000000.0,40100000.0,0.07143000007143,,,33.70486928509479,,,142574423.48008385,
1961,Uganda,,45.1328762324208,90180.0,525.0,1.6666666666666667,,,49.922842070776376,,,220421383.64779875,,,,,,,441524109.0146751,12.828633426239394,,,56641509.43396226,,,,,,8.156186641469656,,,36011530.39832285,135000000.0,115000000.0,95000000.0,41100000.0,0.07143000007143,,,33.73772001880279,,,148960167.7148847,
1962,Uganda,,45.61333266603273,91140.0,530.0,1.65625,,,49.18082538437476,,,220828092.2431866,,,,,,,449012578.6163522,12.116734133598532,,,54405660.37735849,,,,,,7.26495127907031,,,32620545.073375262,134000000.0,113600000.0,95000000.0,39000000.0,0.07143000007143,,,34.815504788051115,,,156325995.8071279,
